GlobalId,IfcType,Name,Material,QuantityName,QuantityValue,MatchedUnitCost,CostUnit,CalculatedElementCost,CostBasis
3cAt3keOr5IAqWcOfbuNAx,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,577.772326722,40.0,m,23110.89,Length (577.77 m) * UnitCost (40.0)
1nZz9768j4pAFS7rcljTUA,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,1063.08286672,40.0,m,42523.31,Length (1063.08 m) * UnitCost (40.0)
3k4bKKm$v3NhnNEkaCaT8m,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,145.774501239,40.0,m,5830.98,Length (145.77 m) * UnitCost (40.0)
1Smy9UIZz0PuzXFjRN_8t9,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,577.773489944,40.0,m,23110.94,Length (577.77 m) * UnitCost (40.0)
3KLNE8pAj368INMalwxWdL,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,1063.08286672,40.0,m,42523.31,Length (1063.08 m) * UnitCost (40.0)
27UY7Jvcf9lwFMjSTxNQnh,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,145.774501239,40.0,m,5830.98,Length (145.77 m) * UnitCost (40.0)
3ZT2xJqOf95AGfYHSE9vsv,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,3050.00004621,40.0,m,122000.0,Length (3050.00 m) * UnitCost (40.0)
251MpPi5nDfgW6sNnBdgEm,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,3049.99995388,40.0,m,122000.0,Length (3050.00 m) * UnitCost (40.0)
0PbuAnDOv9MROtn6VXvlS9,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,3039.99984499,40.0,m,121599.99,Length (3040.00 m) * UnitCost (40.0)
2Q3H7PK0j5Ux$7$peFmB5R,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,220.0,40.0,m,8800.0,Length (220.00 m) * UnitCost (40.0)
0lV3_6JX5Dn8WMYQWopUL4,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,959.999792294,40.0,m,38399.99,Length (960.00 m) * UnitCost (40.0)
3GkVJkbxnCbBdkElcpIobH,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,1430.00011711,40.0,m,57200.0,Length (1430.00 m) * UnitCost (40.0)
2KaTlAZm90L8ylCN2TaJL1,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,650.0,40.0,m,26000.0,Length (650.00 m) * UnitCost (40.0)
